Meal Period,Category,Item Name,Portion,Description,Calories,Ingredients,Nutrients,Filters
Every Day,Breakfast Sandwiches,"Sausage, Egg & Cheese Bagel",1 Sandwich,"Sausage, Egg & Cheese Bagel",690,N/A,"Calories: 690.0 , Fat Calories: 310.0 , Total Fat: 35.0 , Saturated Fat: 13.0 , Trans Fat: 0.0 , Cholesterol: 245.0 , Sodium: 1650.0 , Potassium: None , Total Carbohydrates: 66.0 , Dietary Fiber: 5.0 , Sugars: 7.0 , Protein: 29.0 , Vitamin A: None , Vitamin C: 0.0 , Calcium: 150.0 , Iron: 5.4 ",
Every Day,Breakfast Sandwiches,"Sausage, Egg & Cheese Biscuit",1 Sandwich,"Sausage, Egg & Cheese Biscuit",650,N/A,"Calories: 650.0 , Fat Calories: 420.0 , Total Fat: 46.0 , Saturated Fat: 20.0 , Trans Fat: 0.5 , Cholesterol: 245.0 , Sodium: 1610.0 , Potassium: None , Total Carbohydrates: 36.0 , Dietary Fiber: 2.0 , Sugars: 4.0 , Protein: 22.0 , Vitamin A: None , Vitamin C: 0.0 , Calcium: 200.0 , Iron: 4.5 ",
Every Day,Breakfast Sandwiches,"Sausage, Egg & Cheese Croissant",1 Croissant,"Sausage, Egg & Cheese Croissant",710,N/A,"Calories: 710.0 , Fat Calories: 440.0 , Total Fat: 49.0 , Saturated Fat: 20.0 , Trans Fat: 0.5 , Cholesterol: 245.0 , Sodium: 1370.0 , Potassium: None , Total Carbohydrates: 41.0 , Dietary Fiber: 2.0 , Sugars: 6.0 , Protein: 25.0 , Vitamin A: None , Vitamin C: 0.0 , Calcium: 150.0 , Iron: 3.6 ",
Every Day,Breakfast Sandwiches,"Sausage, Egg & Cheese English Muffin",1 Sandwich,"Sausage, Egg & Cheese English Muffin",530,N/A,"Calories: 530.0 , Fat Calories: 310.0 , Total Fat: 34.0 , Saturated Fat: 13.0 , Trans Fat: 0.0 , Cholesterol: 245.0 , Sodium: 1340.0 , Potassium: None , Total Carbohydrates: 34.0 , Dietary Fiber: 1.0 , Sugars: 3.0 , Protein: 23.0 , Vitamin A: None , Vitamin C: 0.0 , Calcium: 200.0 , Iron: 3.6 ",
Every Day,Coolatta®,Coffee Coolatta®with Cream,large,Coffee Coolatta®with Cream,800,N/A,"Calories: 800.0 , Fat Calories: 410.0 , Total Fat: 46.0 , Saturated Fat: 29.0 , Trans Fat: 1.5 , Cholesterol: 160.0 , Sodium: 150.0 , Potassium: None , Total Carbohydrates: 98.0 , Dietary Fiber: 0.0 , Sugars: 87.0 , Protein: 7.0 , Vitamin A: None , Vitamin C: 2.0 , Calcium: 250.0 , Iron: 0.0 ",
Every Day,Coolatta®,Coffee Coolatta®with Cream,medium,Coffee Coolatta®with Cream,600,N/A,"Calories: 600.0 , Fat Calories: 320.0 , Total Fat: 35.0 , Saturated Fat: 22.0 , Trans Fat: 1.0 , Cholesterol: 120.0 , Sodium: 110.0 , Potassium: None , Total Carbohydrates: 73.0 , Dietary Fiber: 0.0 , Sugars: 65.0 , Protein: 5.0 , Vitamin A: None , Vitamin C: 1.0 , Calcium: 200.0 , Iron: 0.0 ",
Every Day,Coolatta®,Coffee Coolatta®with Cream,small,Coffee Coolatta®with Cream,400,N/A,"Calories: 400.0 , Fat Calories: 210.0 , Total Fat: 23.0 , Saturated Fat: 14.0 , Trans Fat: 0.5 , Cholesterol: 80.0 , Sodium: 75.0 , Potassium: None , Total Carbohydrates: 49.0 , Dietary Fiber: 0.0 , Sugars: 43.0 , Protein: 3.0 , Vitamin A: None , Vitamin C: 1.0 , Calcium: 100.0 , Iron: 0.0 ",
Every Day,Coolatta®,Coffee Coolatta®with Milk,large,Coffee Coolatta®with Milk,480,N/A,"Calories: 480.0 , Fat Calories: 70.0 , Total Fat: 8.0 , Saturated Fat: 5.0 , Trans Fat: 0.0 , Cholesterol: 35.0 , Sodium: 180.0 , Potassium: None , Total Carbohydrates: 100.0 , Dietary Fiber: 0.0 , Sugars: 98.0 , Protein: 8.0 , Vitamin A: None , Vitamin C: 1.0 , Calcium: 250.0 , Iron: 0.0 ",
Every Day,Coolatta®,Coffee Coolatta®with Milk,medium,Coffee Coolatta®with Milk,360,N/A,"Calories: 360.0 , Fat Calories: 50.0 , Total Fat: 6.0 , Saturated Fat: 3.5 , Trans Fat: 0.0 , Cholesterol: 25.0 , Sodium: 130.0 , Potassium: None , Total Carbohydrates: 75.0 , Dietary Fiber: 0.0 , Sugars: 73.0 , Protein: 6.0 , Vitamin A: None , Vitamin C: 1.0 , Calcium: 200.0 , Iron: 0.0 ",
Every Day,Coolatta®,Coffee Coolatta®with Milk,small,Coffee Coolatta®with Milk,240,N/A,"Calories: 240.0 , Fat Calories: 35.0 , Total Fat: 4.0 , Saturated Fat: 2.5 , Trans Fat: 0.0 , Cholesterol: 15.0 , Sodium: 90.0 , Potassium: None , Total Carbohydrates: 50.0 , Dietary Fiber: 0.0 , Sugars: 49.0 , Protein: 4.0 , Vitamin A: None , Vitamin C: 0.0 , Calcium: 150.0 , Iron: 0.0 ",
Every Day,Coolatta®,Coffee Coolatta®with Skim Milk,large,Coffee Coolatta®with Skim Milk,420,N/A,"Calories: 420.0 , Fat Calories: 0.0 , Total Fat: 0.0 , Saturated Fat: 0.0 , Trans Fat: 0.0 , Cholesterol: 5.0 , Sodium: 180.0 , Potassium: None , Total Carbohydrates: 102.0 , Dietary Fiber: 0.0 , Sugars: 98.0 , Protein: 9.0 , Vitamin A: None , Vitamin C: 1.0 , Calcium: 250.0 , Iron: 0.0 ",
Every Day,Coolatta®,Coffee Coolatta®with Skim Milk,medium,Coffee Coolatta®with Skim Milk,310,N/A,"Calories: 310.0 , Fat Calories: 0.0 , Total Fat: 0.0 , Saturated Fat: 0.0 , Trans Fat: 0.0 , Cholesterol: 0.0 , Sodium: 135.0 , Potassium: None , Total Carbohydrates: 76.0 , Dietary Fiber: 0.0 , Sugars: 73.0 , Protein: 7.0 , Vitamin A: None , Vitamin C: 1.0 , Calcium: 200.0 , Iron: 0.0 ",
Every Day,Coolatta®,Coffee Coolatta®with Skim Milk,small,Coffee Coolatta®with Skim Milk,210,N/A,"Calories: 210.0 , Fat Calories: 0.0 , Total Fat: 0.0 , Saturated Fat: 0.0 , Trans Fat: 0.0 , Cholesterol: 0.0 , Sodium: 90.0 , Potassium: None , Total Carbohydrates: 51.0 , Dietary Fiber: 0.0 , Sugars: 49.0 , Protein: 4.0 , Vitamin A: None , Vitamin C: 0.0 , Calcium: 150.0 , Iron: 0.0 ",
Every Day,Cream Cheese,Plain Cream Cheese,1 unit,Plain Cream Cheese,150,N/A,"Calories: 150.0 , Fat Calories: 130.0 , Total Fat: 15.0 , Saturated Fat: 9.0 , Trans Fat: 0.5 , Cholesterol: 40.0 , Sodium: 250.0 , Potassium: None , Total Carbohydrates: 3.0 , Dietary Fiber: 0.0 , Sugars: 3.0 , Protein: 3.0 , Vitamin A: None , Vitamin C: 0.0 , Calcium: 40.0 , Iron: 0.0 ",
Every Day,Cream Cheese,Reduced Fat Plain Cream Cheese,1 unit,50% less fat,100,N/A,"Calories: 100.0 , Fat Calories: 70.0 , Total Fat: 8.0 , Saturated Fat: 5.0 , Trans Fat: 0.0 , Cholesterol: 25.0 , Sodium: 250.0 , Potassium: None , Total Carbohydrates: 5.0 , Dietary Fiber: 0.0 , Sugars: 2.0 , Protein: 4.0 , Vitamin A: None , Vitamin C: 0.0 , Calcium: 60.0 , Iron: 0.0 ",
Every Day,Donut,Apple n Spice,1 Donut,Apple n Spice,270,N/A,"Calories: 270.0 , Fat Calories: 130.0 , Total Fat: 14.0 , Saturated Fat: 6.0 , Trans Fat: 0.0 , Cholesterol: 0.0 , Sodium: 350.0 , Potassium: None , Total Carbohydrates: 32.0 , Dietary Fiber: 1.0 , Sugars: 8.0 , Protein: 3.0 , Vitamin A: None , Vitamin C: 0.0 , Calcium: 20.0 , Iron: 1.08 ",
